LETO,DRŽAVA,SPOL,STAROST,INDIKATOR,VREDNOST
2018,Luksemburg,moški,25-54,Primarna(0-2),83.1
2018,Luksemburg,moški,25-54,Sekundarna(3-4),88.7
2018,Luksemburg,moški,25-54,Terciarna(5-8),91.5
2018,Luksemburg,moški,25-54,Brez odgovora,70.6
2019,Luksemburg,moški,25-54,Primarna(0-2),82.3
2019,Luksemburg,moški,25-54,Sekundarna(3-4),86.6
2019,Luksemburg,moški,25-54,Terciarna(5-8),93.2
2019,Luksemburg,moški,25-54,Brez odgovora,76.6
2011,Madžarska,moški,25-54,Primarna(0-2),53.6
2011,Madžarska,moški,25-54,Sekundarna(3-4),81.6
2011,Madžarska,moški,25-54,Terciarna(5-8),92.3
2012,Madžarska,moški,25-54,Primarna(0-2),54.8
2012,Madžarska,moški,25-54,Sekundarna(3-4),82.2
2012,Madžarska,moški,25-54,Terciarna(5-8),92.3
2013,Madžarska,moški,25-54,Primarna(0-2),55.3
2013,Madžarska,moški,25-54,Sekundarna(3-4),83.5
2013,Madžarska,moški,25-54,Terciarna(5-8),92.6
2014,Madžarska,moški,25-54,Primarna(0-2),63
2014,Madžarska,moški,25-54,Sekundarna(3-4),87.2
2014,Madžarska,moški,25-54,Terciarna(5-8),94.3
2015,Madžarska,moški,25-54,Primarna(0-2),66.8
2015,Madžarska,moški,25-54,Sekundarna(3-4),88.6
2015,Madžarska,moški,25-54,Terciarna(5-8),95
2016,Madžarska,moški,25-54,Primarna(0-2),69.4
2016,Madžarska,moški,25-54,Sekundarna(3-4),90
2016,Madžarska,moški,25-54,Terciarna(5-8),95.3
2017,Madžarska,moški,25-54,Primarna(0-2),73.4
2017,Madžarska,moški,25-54,Sekundarna(3-4),91.6
2017,Madžarska,moški,25-54,Terciarna(5-8),96
2018,Madžarska,moški,25-54,Primarna(0-2),74.6
2018,Madžarska,moški,25-54,Sekundarna(3-4),91.7
2018,Madžarska,moški,25-54,Terciarna(5-8),95.9
2019,Madžarska,moški,25-54,Primarna(0-2),74
2019,Madžarska,moški,25-54,Sekundarna(3-4),92.3
2019,Madžarska,moški,25-54,Terciarna(5-8),96.5
2011,Malta,moški,25-54,Primarna(0-2),85.9
2011,Malta,moški,25-54,Sekundarna(3-4),94.7
2011,Malta,moški,25-54,Terciarna(5-8),96.5
2012,Malta,moški,25-54,Primarna(0-2),85.1
2012,Malta,moški,25-54,Sekundarna(3-4),95.9
2012,Malta,moški,25-54,Terciarna(5-8),96.1
2013,Malta,moški,25-54,Primarna(0-2),85.2
2013,Malta,moški,25-54,Sekundarna(3-4),95.1
2013,Malta,moški,25-54,Terciarna(5-8),96.7
2014,Malta,moški,25-54,Primarna(0-2),86.2
2014,Malta,moški,25-54,Sekundarna(3-4),95.2
2014,Malta,moški,25-54,Terciarna(5-8),96.1
2015,Malta,moški,25-54,Primarna(0-2),87.4
2015,Malta,moški,25-54,Sekundarna(3-4),94.7
2015,Malta,moški,25-54,Terciarna(5-8),96.5
2016,Malta,moški,25-54,Primarna(0-2),88.2
2016,Malta,moški,25-54,Sekundarna(3-4),95.9
2016,Malta,moški,25-54,Terciarna(5-8),96.3
2017,Malta,moški,25-54,Primarna(0-2),89.8
2017,Malta,moški,25-54,Sekundarna(3-4),95.1
2017,Malta,moški,25-54,Terciarna(5-8),96.6
2018,Malta,moški,25-54,Primarna(0-2),89.9
2018,Malta,moški,25-54,Sekundarna(3-4),95.3
2018,Malta,moški,25-54,Terciarna(5-8),96.9
2019,Malta,moški,25-54,Primarna(0-2),91.2
2019,Malta,moški,25-54,Sekundarna(3-4),95.5
2019,Malta,moški,25-54,Terciarna(5-8),95.8
2011,Nizozemska,moški,25-54,Primarna(0-2),81.9
2011,Nizozemska,moški,25-54,Sekundarna(3-4),90.9
2011,Nizozemska,moški,25-54,Terciarna(5-8),94.2
2011,Nizozemska,moški,25-54,Brez odgovora,85.8
2012,Nizozemska,moški,25-54,Primarna(0-2),80.8
2012,Nizozemska,moški,25-54,Sekundarna(3-4),89.8
2012,Nizozemska,moški,25-54,Terciarna(5-8),93.9
2012,Nizozemska,moški,25-54,Brez odgovora,83.4
2013,Nizozemska,moški,25-54,Primarna(0-2),77.3
2013,Nizozemska,moški,25-54,Sekundarna(3-4),87
2013,Nizozemska,moški,25-54,Terciarna(5-8),93
2013,Nizozemska,moški,25-54,Brez odgovora,75.2
2014,Nizozemska,moški,25-54,Primarna(0-2),76
2014,Nizozemska,moški,25-54,Sekundarna(3-4),87
2014,Nizozemska,moški,25-54,Terciarna(5-8),93.6
2014,Nizozemska,moški,25-54,Brez odgovora,74.7
2015,Nizozemska,moški,25-54,Primarna(0-2),76.5
2015,Nizozemska,moški,25-54,Sekundarna(3-4),87.7
2015,Nizozemska,moški,25-54,Terciarna(5-8),93.7
2015,Nizozemska,moški,25-54,Brez odgovora,75.3
2016,Nizozemska,moški,25-54,Primarna(0-2),77.5
2016,Nizozemska,moški,25-54,Sekundarna(3-4),88.4
2016,Nizozemska,moški,25-54,Terciarna(5-8),94
2016,Nizozemska,moški,25-54,Brez odgovora,75.7
2017,Nizozemska,moški,25-54,Primarna(0-2),77.5
2017,Nizozemska,moški,25-54,Sekundarna(3-4),88.6
2017,Nizozemska,moški,25-54,Terciarna(5-8),94
2017,Nizozemska,moški,25-54,Brez odgovora,76.3
2018,Nizozemska,moški,25-54,Primarna(0-2),78.1
2018,Nizozemska,moški,25-54,Sekundarna(3-4),89.5
2018,Nizozemska,moški,25-54,Terciarna(5-8),94.5
2018,Nizozemska,moški,25-54,Brez odgovora,79.7
2019,Nizozemska,moški,25-54,Primarna(0-2),77.7
2019,Nizozemska,moški,25-54,Sekundarna(3-4),89.5
2019,Nizozemska,moški,25-54,Terciarna(5-8),94.2
2019,Nizozemska,moški,25-54,Brez odgovora,84.2
2011,Avstrija,moški,25-54,Primarna(0-2),74.5
2011,Avstrija,moški,25-54,Sekundarna(3-4),88.9
2011,Avstrija,moški,25-54,Terciarna(5-8),94.1
2012,Avstrija,moški,25-54,Primarna(0-2),73.5
2012,Avstrija,moški,25-54,Sekundarna(3-4),88.7
2012,Avstrija,moški,25-54,Terciarna(5-8),94.1
2013,Avstrija,moški,25-54,Primarna(0-2),71.6
2013,Avstrija,moški,25-54,Sekundarna(3-4),88.3
2013,Avstrija,moški,25-54,Terciarna(5-8),93
2014,Avstrija,moški,25-54,Primarna(0-2),68.2
2014,Avstrija,moški,25-54,Sekundarna(3-4),87.4
2014,Avstrija,moški,25-54,Terciarna(5-8),91.1
2015,Avstrija,moški,25-54,Primarna(0-2),68.3
2015,Avstrija,moški,25-54,Sekundarna(3-4),87.2
2015,Avstrija,moški,25-54,Terciarna(5-8),91.3
2016,Avstrija,moški,25-54,Primarna(0-2),67.4
2016,Avstrija,moški,25-54,Sekundarna(3-4),87.1
2016,Avstrija,moški,25-54,Terciarna(5-8),92
2017,Avstrija,moški,25-54,Primarna(0-2),66.8
2017,Avstrija,moški,25-54,Sekundarna(3-4),87.9
2017,Avstrija,moški,25-54,Terciarna(5-8),92.6
2018,Avstrija,moški,25-54,Primarna(0-2),69.2
2018,Avstrija,moški,25-54,Sekundarna(3-4),88.5
2018,Avstrija,moški,25-54,Terciarna(5-8),92.5
2019,Avstrija,moški,25-54,Primarna(0-2),70.6
2019,Avstrija,moški,25-54,Sekundarna(3-4),89.2
2019,Avstrija,moški,25-54,Terciarna(5-8),93
2011,Poljska,moški,25-54,Primarna(0-2),59.8
2011,Poljska,moški,25-54,Sekundarna(3-4),83
2011,Poljska,moški,25-54,Terciarna(5-8),92.3
2012,Poljska,moški,25-54,Primarna(0-2),60
2012,Poljska,moški,25-54,Sekundarna(3-4),82.6
2012,Poljska,moški,25-54,Terciarna(5-8),91.9
2013,Poljska,moški,25-54,Primarna(0-2),57.5
2013,Poljska,moški,25-54,Sekundarna(3-4),82.3
2013,Poljska,moški,25-54,Terciarna(5-8),92.1
2014,Poljska,moški,25-54,Primarna(0-2),57.9
2014,Poljska,moški,25-54,Sekundarna(3-4),83.5
2014,Poljska,moški,25-54,Terciarna(5-8),93.2
2015,Poljska,moški,25-54,Primarna(0-2),60.2
2015,Poljska,moški,25-54,Sekundarna(3-4),84.4
2015,Poljska,moški,25-54,Terciarna(5-8),93.8
2016,Poljska,moški,25-54,Primarna(0-2),60.3
2016,Poljska,moški,25-54,Sekundarna(3-4),85.7
2016,Poljska,moški,25-54,Terciarna(5-8),94.3
2017,Poljska,moški,25-54,Primarna(0-2),61.8
2017,Poljska,moški,25-54,Sekundarna(3-4),86.7
2017,Poljska,moški,25-54,Terciarna(5-8),95.1
2018,Poljska,moški,25-54,Primarna(0-2),61.8
2018,Poljska,moški,25-54,Sekundarna(3-4),87.8
2018,Poljska,moški,25-54,Terciarna(5-8),95.1
2019,Poljska,moški,25-54,Primarna(0-2),64.2
2019,Poljska,moški,25-54,Sekundarna(3-4),89.1
2019,Poljska,moški,25-54,Terciarna(5-8),95.5
2011,Portugalska,moški,25-54,Primarna(0-2),79.6
2011,Portugalska,moški,25-54,Sekundarna(3-4),84.6
2011,Portugalska,moški,25-54,Terciarna(5-8),87.1
2012,Portugalska,moški,25-54,Primarna(0-2),75.9
2012,Portugalska,moški,25-54,Sekundarna(3-4),81.3
2012,Portugalska,moški,25-54,Terciarna(5-8),85.4
2013,Portugalska,moški,25-54,Primarna(0-2),73.4
2013,Portugalska,moški,25-54,Sekundarna(3-4),80.9
2013,Portugalska,moški,25-54,Terciarna(5-8),85.3
2014,Portugalska,moški,25-54,Primarna(0-2),76.4
2014,Portugalska,moški,25-54,Sekundarna(3-4),84.5
2014,Portugalska,moški,25-54,Terciarna(5-8),88.2
2015,Portugalska,moški,25-54,Primarna(0-2),78.6
2015,Portugalska,moški,25-54,Sekundarna(3-4),84.1
2015,Portugalska,moški,25-54,Terciarna(5-8),87.1
2016,Portugalska,moški,25-54,Primarna(0-2),79.7
2016,Portugalska,moški,25-54,Sekundarna(3-4),84.8
2016,Portugalska,moški,25-54,Terciarna(5-8),88.6
2017,Portugalska,moški,25-54,Primarna(0-2),83
2017,Portugalska,moški,25-54,Sekundarna(3-4),87.1
2017,Portugalska,moški,25-54,Terciarna(5-8),90
2018,Portugalska,moški,25-54,Primarna(0-2),84.9
2018,Portugalska,moški,25-54,Sekundarna(3-4),88.7
2018,Portugalska,moški,25-54,Terciarna(5-8),91.4
2019,Portugalska,moški,25-54,Primarna(0-2),85.4
2019,Portugalska,moški,25-54,Sekundarna(3-4),89.6
2019,Portugalska,moški,25-54,Terciarna(5-8),91.4
2011,Romunija,moški,25-54,Primarna(0-2),69
2011,Romunija,moški,25-54,Sekundarna(3-4),85
2011,Romunija,moški,25-54,Terciarna(5-8),92.6
2012,Romunija,moški,25-54,Primarna(0-2),70.5
2012,Romunija,moški,25-54,Sekundarna(3-4),86.1
2012,Romunija,moški,25-54,Terciarna(5-8),91.9
2013,Romunija,moški,25-54,Primarna(0-2),72.1
2013,Romunija,moški,25-54,Sekundarna(3-4),85.2
2013,Romunija,moški,25-54,Terciarna(5-8),91.8
2014,Romunija,moški,25-54,Primarna(0-2),73.8
2014,Romunija,moški,25-54,Sekundarna(3-4),86.7
2014,Romunija,moški,25-54,Terciarna(5-8),91.7
2015,Romunija,moški,25-54,Primarna(0-2),75.8
2015,Romunija,moški,25-54,Sekundarna(3-4),86.1
2015,Romunija,moški,25-54,Terciarna(5-8),93.6
2016,Romunija,moški,25-54,Primarna(0-2),74.4
2016,Romunija,moški,25-54,Sekundarna(3-4),86.6
2016,Romunija,moški,25-54,Terciarna(5-8),94.4
2017,Romunija,moški,25-54,Primarna(0-2),76.9
2017,Romunija,moški,25-54,Sekundarna(3-4),89.1
2017,Romunija,moški,25-54,Terciarna(5-8),94.4
2018,Romunija,moški,25-54,Primarna(0-2),77
2018,Romunija,moški,25-54,Sekundarna(3-4),90.4
2018,Romunija,moški,25-54,Terciarna(5-8),95.1
2019,Romunija,moški,25-54,Primarna(0-2),79
2019,Romunija,moški,25-54,Sekundarna(3-4),91.2
2019,Romunija,moški,25-54,Terciarna(5-8),95.6
2011,Slovenija,moški,25-54,Primarna(0-2),67.7
2011,Slovenija,moški,25-54,Sekundarna(3-4),85
2011,Slovenija,moški,25-54,Terciarna(5-8),93.5
2012,Slovenija,moški,25-54,Primarna(0-2),67.7
2012,Slovenija,moški,25-54,Sekundarna(3-4),85.8
2012,Slovenija,moški,25-54,Terciarna(5-8),93.5
2013,Slovenija,moški,25-54,Primarna(0-2),66.4
2013,Slovenija,moški,25-54,Sekundarna(3-4),84.8
2013,Slovenija,moški,25-54,Terciarna(5-8),91.5
2014,Slovenija,moški,25-54,Primarna(0-2),68.3
2014,Slovenija,moški,25-54,Sekundarna(3-4),84.4
2014,Slovenija,moški,25-54,Terciarna(5-8),91.7
2015,Slovenija,moški,25-54,Primarna(0-2),71.9
2015,Slovenija,moški,25-54,Sekundarna(3-4),85.5
2015,Slovenija,moški,25-54,Terciarna(5-8),92.7
2016,Slovenija,moški,25-54,Primarna(0-2),66
2016,Slovenija,moški,25-54,Sekundarna(3-4),86.8
2016,Slovenija,moški,25-54,Terciarna(5-8),90.1
2017,Slovenija,moški,25-54,Primarna(0-2),71.6
2017,Slovenija,moški,25-54,Sekundarna(3-4),89.1
2017,Slovenija,moški,25-54,Terciarna(5-8),93
2018,Slovenija,moški,25-54,Primarna(0-2),75
2018,Slovenija,moški,25-54,Sekundarna(3-4),90.1
2018,Slovenija,moški,25-54,Terciarna(5-8),94.8
2019,Slovenija,moški,25-54,Primarna(0-2),73
2019,Slovenija,moški,25-54,Sekundarna(3-4),91.2
2019,Slovenija,moški,25-54,Terciarna(5-8),95.9
2011,Slovaška,moški,25-54,Primarna(0-2),36.1
2011,Slovaška,moški,25-54,Sekundarna(3-4),84
2011,Slovaška,moški,25-54,Terciarna(5-8),91.2
2012,Slovaška,moški,25-54,Primarna(0-2),39.8
2012,Slovaška,moški,25-54,Sekundarna(3-4),84.7
2012,Slovaška,moški,25-54,Terciarna(5-8),89.8
2013,Slovaška,moški,25-54,Primarna(0-2),40.3
2013,Slovaška,moški,25-54,Sekundarna(3-4),83.3
2013,Slovaška,moški,25-54,Terciarna(5-8),89.9
2014,Slovaška,moški,25-54,Primarna(0-2),41.5
2014,Slovaška,moški,25-54,Sekundarna(3-4),84.8
2014,Slovaška,moški,25-54,Terciarna(5-8),91.8
2015,Slovaška,moški,25-54,Primarna(0-2),44.6
2015,Slovaška,moški,25-54,Sekundarna(3-4),86.9
2015,Slovaška,moški,25-54,Terciarna(5-8),92.1
2016,Slovaška,moški,25-54,Primarna(0-2),49.8
2016,Slovaška,moški,25-54,Sekundarna(3-4),88
2016,Slovaška,moški,25-54,Terciarna(5-8),91.5
2017,Slovaška,moški,25-54,Primarna(0-2),49.6
2017,Slovaška,moški,25-54,Sekundarna(3-4),88
2017,Slovaška,moški,25-54,Terciarna(5-8),93.4
2018,Slovaška,moški,25-54,Primarna(0-2),51.9
2018,Slovaška,moški,25-54,Sekundarna(3-4),89.9
2018,Slovaška,moški,25-54,Terciarna(5-8),93.2
2019,Slovaška,moški,25-54,Primarna(0-2),48.6
2019,Slovaška,moški,25-54,Sekundarna(3-4),90.8
2019,Slovaška,moški,25-54,Terciarna(5-8),94.3
2011,Finska,moški,25-54,Primarna(0-2),70.3
2011,Finska,moški,25-54,Sekundarna(3-4),83.8
2011,Finska,moški,25-54,Terciarna(5-8),92.6
2012,Finska,moški,25-54,Primarna(0-2),69.5
2012,Finska,moški,25-54,Sekundarna(3-4),83.1
2012,Finska,moški,25-54,Terciarna(5-8),92.4
2013,Finska,moški,25-54,Primarna(0-2),68.9
2013,Finska,moški,25-54,Sekundarna(3-4),82.7
2013,Finska,moški,25-54,Terciarna(5-8),91
2014,Finska,moški,25-54,Primarna(0-2),66.3
2014,Finska,moški,25-54,Sekundarna(3-4),81.4
2014,Finska,moški,25-54,Terciarna(5-8),90.2
2015,Finska,moški,25-54,Primarna(0-2),66.9
2015,Finska,moški,25-54,Sekundarna(3-4),81
2015,Finska,moški,25-54,Terciarna(5-8),89.7
2016,Finska,moški,25-54,Primarna(0-2),68.4
2016,Finska,moški,25-54,Sekundarna(3-4),81.4
2016,Finska,moški,25-54,Terciarna(5-8),90
2017,Finska,moški,25-54,Primarna(0-2),65.1
2017,Finska,moški,25-54,Sekundarna(3-4),81.8
2017,Finska,moški,25-54,Terciarna(5-8),91.3
2018,Finska,moški,25-54,Primarna(0-2),67.5
2018,Finska,moški,25-54,Sekundarna(3-4),83.5
2018,Finska,moški,25-54,Terciarna(5-8),93.1
2019,Finska,moški,25-54,Primarna(0-2),65.8
2019,Finska,moški,25-54,Sekundarna(3-4),84.5
2019,Finska,moški,25-54,Terciarna(5-8),92.1
2011,Švedska,moški,25-54,Primarna(0-2),75.6
2011,Švedska,moški,25-54,Sekundarna(3-4),89.8
2011,Švedska,moški,25-54,Terciarna(5-8),91.3
2011,Švedska,moški,25-54,Brez odgovora,53.3
2012,Švedska,moški,25-54,Primarna(0-2),75.2
2012,Švedska,moški,25-54,Sekundarna(3-4),89.7
2012,Švedska,moški,25-54,Terciarna(5-8),91.2
2012,Švedska,moški,25-54,Brez odgovora,52.5
2013,Švedska,moški,25-54,Primarna(0-2),73.3
2013,Švedska,moški,25-54,Sekundarna(3-4),89.9
2013,Švedska,moški,25-54,Terciarna(5-8),91.7
2013,Švedska,moški,25-54,Brez odgovora,55.1
2014,Švedska,moški,25-54,Primarna(0-2),72.6
2014,Švedska,moški,25-54,Sekundarna(3-4),89.9
2014,Švedska,moški,25-54,Terciarna(5-8),91.4
2014,Švedska,moški,25-54,Brez odgovora,55
2015,Švedska,moški,25-54,Primarna(0-2),72.5
2015,Švedska,moški,25-54,Sekundarna(3-4),90.2
2015,Švedska,moški,25-54,Terciarna(5-8),91.3
2015,Švedska,moški,25-54,Brez odgovora,69.3
2016,Švedska,moški,25-54,Primarna(0-2),71.9
2016,Švedska,moški,25-54,Sekundarna(3-4),90.3
2016,Švedska,moški,25-54,Terciarna(5-8),91.4
2016,Švedska,moški,25-54,Brez odgovora,54.3
2017,Švedska,moški,25-54,Primarna(0-2),72.3
2017,Švedska,moški,25-54,Sekundarna(3-4),91
2017,Švedska,moški,25-54,Terciarna(5-8),91.3
2017,Švedska,moški,25-54,Brez odgovora,66.8
2018,Švedska,moški,25-54,Primarna(0-2),73
2018,Švedska,moški,25-54,Sekundarna(3-4),91.6
2018,Švedska,moški,25-54,Terciarna(5-8),91.7
2018,Švedska,moški,25-54,Brez odgovora,66.6
2019,Švedska,moški,25-54,Primarna(0-2),74
2019,Švedska,moški,25-54,Sekundarna(3-4),90.7
2019,Švedska,moški,25-54,Terciarna(5-8),92.5
2019,Švedska,moški,25-54,Brez odgovora,60.8
2011,Velika Britanija,moški,25-54,Primarna(0-2),72
2011,Velika Britanija,moški,25-54,Sekundarna(3-4),87.1
2011,Velika Britanija,moški,25-54,Terciarna(5-8),92.2
2011,Velika Britanija,moški,25-54,Brez odgovora,84.2
2012,Velika Britanija,moški,25-54,Primarna(0-2),72.7
2012,Velika Britanija,moški,25-54,Sekundarna(3-4),87.6
2012,Velika Britanija,moški,25-54,Terciarna(5-8),92.7
2012,Velika Britanija,moški,25-54,Brez odgovora,83.5
2013,Velika Britanija,moški,25-54,Primarna(0-2),72.8
2013,Velika Britanija,moški,25-54,Sekundarna(3-4),87.7
2013,Velika Britanija,moški,25-54,Terciarna(5-8),92.8
2013,Velika Britanija,moški,25-54,Brez odgovora,83.7
2014,Velika Britanija,moški,25-54,Primarna(0-2),75.3
2014,Velika Britanija,moški,25-54,Sekundarna(3-4),88.7
2014,Velika Britanija,moški,25-54,Terciarna(5-8),93.4
2014,Velika Britanija,moški,25-54,Brez odgovora,85.6
2015,Velika Britanija,moški,25-54,Primarna(0-2),75.2
2015,Velika Britanija,moški,25-54,Sekundarna(3-4),89.3
2015,Velika Britanija,moški,25-54,Terciarna(5-8),93.5
2015,Velika Britanija,moški,25-54,Brez odgovora,85
2016,Velika Britanija,moški,25-54,Primarna(0-2),77.4
2016,Velika Britanija,moški,25-54,Sekundarna(3-4),90
2016,Velika Britanija,moški,25-54,Terciarna(5-8),93.5
2016,Velika Britanija,moški,25-54,Brez odgovora,69.2
2017,Velika Britanija,moški,25-54,Primarna(0-2),78.2
2017,Velika Britanija,moški,25-54,Sekundarna(3-4),90.2
2017,Velika Britanija,moški,25-54,Terciarna(5-8),94.1
2017,Velika Britanija,moški,25-54,Brez odgovora,81.1
2018,Velika Britanija,moški,25-54,Primarna(0-2),79.5
2018,Velika Britanija,moški,25-54,Sekundarna(3-4),90.5
2018,Velika Britanija,moški,25-54,Terciarna(5-8),93.9
2018,Velika Britanija,moški,25-54,Brez odgovora,76.1
2019,Velika Britanija,moški,25-54,Primarna(0-2),78.9
2019,Velika Britanija,moški,25-54,Sekundarna(3-4),91
2019,Velika Britanija,moški,25-54,Terciarna(5-8),94.2
2019,Velika Britanija,moški,25-54,Brez odgovora,75.8
2011,Belgija,moški,55-64,Primarna(0-2),33.1
2011,Belgija,moški,55-64,Sekundarna(3-4),47.9
2011,Belgija,moški,55-64,Terciarna(5-8),64
2012,Belgija,moški,55-64,Primarna(0-2),31.3
2012,Belgija,moški,55-64,Sekundarna(3-4),49.9
2012,Belgija,moški,55-64,Terciarna(5-8),64.2
2013,Belgija,moški,55-64,Primarna(0-2),33.7
2013,Belgija,moški,55-64,Sekundarna(3-4),48.8
2013,Belgija,moški,55-64,Terciarna(5-8),67.3
2014,Belgija,moški,55-64,Primarna(0-2),35.4
2014,Belgija,moški,55-64,Sekundarna(3-4),49
2014,Belgija,moški,55-64,Terciarna(5-8),67.2
2015,Belgija,moški,55-64,Primarna(0-2),33.6
2015,Belgija,moški,55-64,Sekundarna(3-4),50.4
2015,Belgija,moški,55-64,Terciarna(5-8),68.3
2016,Belgija,moški,55-64,Primarna(0-2),33.6
2016,Belgija,moški,55-64,Sekundarna(3-4),54.1
2016,Belgija,moški,55-64,Terciarna(5-8),70.2
2017,Belgija,moški,55-64,Primarna(0-2),36.6
2017,Belgija,moški,55-64,Sekundarna(3-4),54.8
2017,Belgija,moški,55-64,Terciarna(5-8),72.9
2018,Belgija,moški,55-64,Primarna(0-2),35.2
2018,Belgija,moški,55-64,Sekundarna(3-4),57.5
2018,Belgija,moški,55-64,Terciarna(5-8),74.3
2019,Belgija,moški,55-64,Primarna(0-2),38
2019,Belgija,moški,55-64,Sekundarna(3-4),58.3
2019,Belgija,moški,55-64,Terciarna(5-8),76.4
2011,Bolgarija,moški,55-64,Primarna(0-2),36.3
2011,Bolgarija,moški,55-64,Sekundarna(3-4),52.8
2011,Bolgarija,moški,55-64,Terciarna(5-8),66
2012,Bolgarija,moški,55-64,Primarna(0-2),35.4
2012,Bolgarija,moški,55-64,Sekundarna(3-4),52.4
2012,Bolgarija,moški,55-64,Terciarna(5-8),67.5
2013,Bolgarija,moški,55-64,Primarna(0-2),34.9
2013,Bolgarija,moški,55-64,Sekundarna(3-4),53.7
2013,Bolgarija,moški,55-64,Terciarna(5-8),68.7
2014,Bolgarija,moški,55-64,Primarna(0-2),38.7
2014,Bolgarija,moški,55-64,Sekundarna(3-4),56.6
2014,Bolgarija,moški,55-64,Terciarna(5-8),70.5
2015,Bolgarija,moški,55-64,Primarna(0-2),38.4
2015,Bolgarija,moški,55-64,Sekundarna(3-4),58.9
2015,Bolgarija,moški,55-64,Terciarna(5-8),73.7
2016,Bolgarija,moški,55-64,Primarna(0-2),38.9
2016,Bolgarija,moški,55-64,Sekundarna(3-4),60.1
2016,Bolgarija,moški,55-64,Terciarna(5-8),74.8
2017,Bolgarija,moški,55-64,Primarna(0-2),44.1
2017,Bolgarija,moški,55-64,Sekundarna(3-4),64.4
2017,Bolgarija,moški,55-64,Terciarna(5-8),75.7
2018,Bolgarija,moški,55-64,Primarna(0-2),45.7
2018,Bolgarija,moški,55-64,Sekundarna(3-4),67.8
2018,Bolgarija,moški,55-64,Terciarna(5-8),78
2019,Bolgarija,moški,55-64,Primarna(0-2),50.1
2019,Bolgarija,moški,55-64,Sekundarna(3-4),71
2019,Bolgarija,moški,55-64,Terciarna(5-8),82.2
2011,Češka,moški,55-64,Primarna(0-2),32.9
2011,Češka,moški,55-64,Sekundarna(3-4),57.7
2011,Češka,moški,55-64,Terciarna(5-8),77.3
2012,Češka,moški,55-64,Primarna(0-2),34.1
2012,Češka,moški,55-64,Sekundarna(3-4),58.8
2012,Češka,moški,55-64,Terciarna(5-8),79.6
2013,Češka,moški,55-64,Primarna(0-2),35.3
2013,Češka,moški,55-64,Sekundarna(3-4),60.5
2013,Češka,moški,55-64,Terciarna(5-8),83
2014,Češka,moški,55-64,Primarna(0-2),39.2
2014,Češka,moški,55-64,Sekundarna(3-4),63.1
2014,Češka,moški,55-64,Terciarna(5-8),81.3
2015,Češka,moški,55-64,Primarna(0-2),38.3
2015,Češka,moški,55-64,Sekundarna(3-4),64.1
2015,Češka,moški,55-64,Terciarna(5-8),82.1
2016,Češka,moški,55-64,Primarna(0-2),37.2
2016,Češka,moški,55-64,Sekundarna(3-4),66.7
2016,Češka,moški,55-64,Terciarna(5-8),83.6
2017,Češka,moški,55-64,Primarna(0-2),37.2
2017,Češka,moški,55-64,Sekundarna(3-4),70.6
2017,Češka,moški,55-64,Terciarna(5-8),85.2
2018,Češka,moški,55-64,Primarna(0-2),42.5
2018,Češka,moški,55-64,Sekundarna(3-4),73
2018,Češka,moški,55-64,Terciarna(5-8),85.8
2019,Češka,moški,55-64,Primarna(0-2),46.2
2019,Češka,moški,55-64,Sekundarna(3-4),73.4
2019,Češka,moški,55-64,Terciarna(5-8),86.6
2011,Danska,moški,55-64,Primarna(0-2),50.4
2011,Danska,moški,55-64,Sekundarna(3-4),61.4
2011,Danska,moški,55-64,Terciarna(5-8),73.1
2011,Danska,moški,55-64,Brez odgovora,60.3
2012,Danska,moški,55-64,Primarna(0-2),49.9
2012,Danska,moški,55-64,Sekundarna(3-4),63.3
2012,Danska,moški,55-64,Terciarna(5-8),76.2
2012,Danska,moški,55-64,Brez odgovora,55
2013,Danska,moški,55-64,Primarna(0-2),52.2
2013,Danska,moški,55-64,Sekundarna(3-4),63.5
2013,Danska,moški,55-64,Terciarna(5-8),76.6
2013,Danska,moški,55-64,Brez odgovora,56.9
2014,Danska,moški,55-64,Primarna(0-2),60.3
2014,Danska,moški,55-64,Sekundarna(3-4),63.7
2014,Danska,moški,55-64,Terciarna(5-8),79.6
2015,Danska,moški,55-64,Primarna(0-2),61.1
2015,Danska,moški,55-64,Sekundarna(3-4),66.8
2015,Danska,moški,55-64,Terciarna(5-8),80.6
2016,Danska,moški,55-64,Primarna(0-2),63
2016,Danska,moški,55-64,Sekundarna(3-4),70.2
2016,Danska,moški,55-64,Terciarna(5-8),78.2
2016,Danska,moški,55-64,Brez odgovora,49.9
2017,Danska,moški,55-64,Primarna(0-2),66.3
2017,Danska,moški,55-64,Sekundarna(3-4),72
2017,Danska,moški,55-64,Terciarna(5-8),79.8
2017,Danska,moški,55-64,Brez odgovora,52.2
2018,Danska,moški,55-64,Primarna(0-2),63.2
2018,Danska,moški,55-64,Sekundarna(3-4),76.1
2018,Danska,moški,55-64,Terciarna(5-8),81.7
2018,Danska,moški,55-64,Brez odgovora,54.6
2019,Danska,moški,55-64,Primarna(0-2),67.1
2019,Danska,moški,55-64,Sekundarna(3-4),77.4
2019,Danska,moški,55-64,Terciarna(5-8),83.1
2019,Danska,moški,55-64,Brez odgovora,51.4
2011,Nemčija,moški,55-64,Primarna(0-2),49.2
2011,Nemčija,moški,55-64,Sekundarna(3-4),64.1
2011,Nemčija,moški,55-64,Terciarna(5-8),78.1
2012,Nemčija,moški,55-64,Primarna(0-2),51.6
