"AGE,""TIME"",""GEO"",""SEX"",""REASON"",""UNIT"",""Value"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""25.6"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""In education or training"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""0.7"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""Probationary period"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""8.4"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""No response"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2011"",""Sweden"",""Females"",""No response"",""Percentage of employees with a temporary job"",""1.3"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Could not find permanent job"",""Percentage of employees"",""2.3"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""47.1"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""13.8"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""In education or training"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""4.3"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Probationary period"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""3.1"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""No response"",""Percentage of employees"",""1.5"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Males"",""No response"",""Percentage of employees with a temporary job"",""31.7"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Could not find permanent job"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""37.9"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""20.0"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""In education or training"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""4.6"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Probationary period"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""2.9"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""No response"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2011"",""United Kingdom"",""Females"",""No response"",""Percentage of employees with a temporary job"",""34.6"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Could not find permanent job"",""Percentage of employees"",""5.2"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""80.4"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""14.1"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""In education or training"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""5.4"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Could not find permanent job"",""Percentage of employees"",""7.2"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""81.5"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""15.7"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""In education or training"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""2.7"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Belgium"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""69.9"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Probationary period"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""18.7"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Could not find permanent job"",""Percentage of employees"",""2.5"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""73.8"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Bulgaria"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""5.6"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""83.8"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""15.7"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""8.1"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""82.8"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.6"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""16.7"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Czechia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Could not find permanent job"",""Percentage of employees"",""3.1"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""46.7"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""11.5"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""In education or training"",""Percentage of employees"",""2.5"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""38.1"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Probationary period"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""3.8"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Denmark"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Could not find permanent job"",""Percentage of employees"",""4.9"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""56.6"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""12.3"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""In education or training"",""Percentage of employees"",""2.4"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""27.8"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Probationary period"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.2"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Denmark"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Could not find permanent job"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""16.7"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.5"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""In education or training"",""Percentage of employees"",""3.2"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""27.9"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Probationary period"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""15.0"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""No response"",""Percentage of employees"",""4.4"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Males"",""No response"",""Percentage of employees with a temporary job"",""37.9"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Could not find permanent job"",""Percentage of employees"",""2.3"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""18.6"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.7"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""In education or training"",""Percentage of employees"",""3.3"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""27.1"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Probationary period"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""13.8"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""No response"",""Percentage of employees"",""4.6"""
"From 20 to 64 years,""2012"",""Germany (until 1990 former territory of the FRG)"",""Females"",""No response"",""Percentage of employees with a temporary job"",""37.9"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""1.7"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""40.5"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Probationary period"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""33.9"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""No response"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2012"",""Estonia"",""Males"",""No response"",""Percentage of employees with a temporary job"",""16.7"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""35.8"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""In education or training"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Probationary period"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""43.6"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Estonia"",""Females"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Could not find permanent job"",""Percentage of employees"",""4.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""51.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""10.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""In education or training"",""Percentage of employees"",""0.9"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""10.1"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""No response"",""Percentage of employees"",""2.4"""
"From 20 to 64 years,""2012"",""Ireland"",""Males"",""No response"",""Percentage of employees with a temporary job"",""25.4"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Could not find permanent job"",""Percentage of employees"",""4.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""49.7"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""11.0"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""In education or training"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""8.5"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Probationary period"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""No response"",""Percentage of employees"",""2.8"""
"From 20 to 64 years,""2012"",""Ireland"",""Females"",""No response"",""Percentage of employees with a temporary job"",""29.0"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Could not find permanent job"",""Percentage of employees"",""6.6"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""75.0"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""2.0"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""In education or training"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""4.7"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""4.8"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""No response"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2012"",""Greece"",""Males"",""No response"",""Percentage of employees with a temporary job"",""13.5"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees"",""9.0"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""76.6"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""1.9"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""In education or training"",""Percentage of employees"",""0.7"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""6.0"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.6"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""No response"",""Percentage of employees"",""1.4"""
"From 20 to 64 years,""2012"",""Greece"",""Females"",""No response"",""Percentage of employees with a temporary job"",""11.8"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees"",""19.0"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""87.1"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""0.6"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.0"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""In education or training"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""3.6"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Probationary period"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""0.7"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""No response"",""Percentage of employees"",""1.2"""
"From 20 to 64 years,""2012"",""Spain"",""Males"",""No response"",""Percentage of employees with a temporary job"",""5.6"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees"",""21.5"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""84.9"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""0.8"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""3.1"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""In education or training"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""4.0"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Probationary period"",""Percentage of employees"",""0.1"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""0.5"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""No response"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2012"",""Spain"",""Females"",""No response"",""Percentage of employees with a temporary job"",""7.5"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees"",""7.2"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""54.5"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees"",""2.9"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""21.9"""
"From 20 to 64 years,""2012"",""France"",""Males"",""In education or training"",""Percentage of employees"",""1.6"""
"From 20 to 64 years,""2012"",""France"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""12.0"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Probationary period"",""Percentage of employees"",""0.4"""
"From 20 to 64 years,""2012"",""France"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""3.3"""
"From 20 to 64 years,""2012"",""France"",""Males"",""No response"",""Percentage of employees"",""1.1"""
"From 20 to 64 years,""2012"",""France"",""Males"",""No response"",""Percentage of employees with a temporary job"",""8.3"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees"",""9.3"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""59.8"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees"",""2.9"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"",""18.4"""
"From 20 to 64 years,""2012"",""France"",""Females"",""In education or training"",""Percentage of employees"",""1.9"""
"From 20 to 64 years,""2012"",""France"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""12.2"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Probationary period"",""Percentage of employees"",""0.5"""
"From 20 to 64 years,""2012"",""France"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""3.4"""
"From 20 to 64 years,""2012"",""France"",""Females"",""No response"",""Percentage of employees"",""1.0"""
"From 20 to 64 years,""2012"",""France"",""Females"",""No response"",""Percentage of employees with a temporary job"",""6.2"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees"",""6.3"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""48.6"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""In education or training"",""Percentage of employees"",""6.4"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""In education or training"",""Percentage of employees with a temporary job"",""49.7"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees"",""0.2"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""Probationary period"",""Percentage of employees with a temporary job"",""1.6"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""No response"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Males"",""No response"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees"",""6.8"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Could not find permanent job"",""Percentage of employees with a temporary job"",""51.6"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Did not want a permanent job"",""Percentage of employees with a temporary job"","":"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""In education or training"",""Percentage of employees"",""6.1"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""In education or training"",""Percentage of employees with a temporary job"",""46.2"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees"",""0.3"""
"From 20 to 64 years,""2012"",""Croatia"",""Females"",""Probationary period"",""Percentage of employees with a temporary job"",""2.0"""
