LETO,DRZAVA,SPOL,RAZLOG,INDIKATOR,VREDNOST
2012,Portugalska,moški,Poskusna doba,Delež vseh zaposlenih,1
2012,Portugalska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,5.1
2012,Portugalska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,17.7
2012,Portugalska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,88.1
2012,Portugalska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.8
2012,Portugalska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,4
2012,Portugalska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.8
2012,Portugalska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.9
2012,Portugalska,ženske,Poskusna doba,Delež vseh zaposlenih,0.8
2012,Portugalska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,4
2012,Romunija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,1.6
2012,Romunija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,85.9
2012,Romunija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,0.9
2012,Romunija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,80.9
2012,Slovenija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.9
2012,Slovenija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,52.1
2012,Slovenija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,5.7
2012,Slovenija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,37.7
2012,Slovenija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2012,Slovenija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2.6
2012,Slovenija,moški,Poskusna doba,Delež vseh zaposlenih,1.2
2012,Slovenija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,7.6
2012,Slovenija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,9.5
2012,Slovenija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,52.6
2012,Slovenija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,7.2
2012,Slovenija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,40.1
2012,Slovenija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.5
2012,Slovenija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2.7
2012,Slovenija,ženske,Poskusna doba,Delež vseh zaposlenih,0.8
2012,Slovenija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,4.6
2012,Slovaška,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.4
2012,Slovaška,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,86.9
2012,Slovaška,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.7
2012,Slovaška,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,11.9
2012,Slovaška,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.8
2012,Slovaška,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,82.4
2012,Slovaška,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.2
2012,Slovaška,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,16.5
2012,Finska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.2
2012,Finska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,66.8
2012,Finska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.5
2012,Finska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,23.2
2012,Finska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.6
2012,Finska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.6
2012,Finska,moški,Poskusna doba,Delež vseh zaposlenih,0.3
2012,Finska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,3.2
2012,Finska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,11.8
2012,Finska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,73.7
2012,Finska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.8
2012,Finska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,17.6
2012,Finska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.9
2012,Finska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.9
2012,Finska,ženske,Poskusna doba,Delež vseh zaposlenih,0.3
2012,Finska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,2
2012,Švedska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.9
2012,Švedska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,56.1
2012,Švedska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,3.2
2012,Švedska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,26.1
2012,Švedska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.2
2012,Švedska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,1.4
2012,Švedska,moški,Poskusna doba,Delež vseh zaposlenih,1.8
2012,Švedska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,14.8
2012,Švedska,moški,Ni odgovora,Delež vseh zaposlenih,0.2
2012,Švedska,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,1.5
2012,Švedska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,10.2
2012,Švedska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,63.6
2012,Švedska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,4.3
2012,Švedska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,26.7
2012,Švedska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.1
2012,Švedska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,0.9
2012,Švedska,ženske,Poskusna doba,Delež vseh zaposlenih,1.2
2012,Švedska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,7.5
2012,Švedska,ženske,Ni odgovora,Delež vseh zaposlenih,0.2
2012,Švedska,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,1.3
2012,Velika Britanija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.3
2012,Velika Britanija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,49.3
2012,Velika Britanija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.6
2012,Velika Britanija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,12.2
2012,Velika Britanija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2012,Velika Britanija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.5
2012,Velika Britanija,moški,Poskusna doba,Delež vseh zaposlenih,0.2
2012,Velika Britanija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,3.5
2012,Velika Britanija,moški,Ni odgovora,Delež vseh zaposlenih,1.4
2012,Velika Britanija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,29.5
2012,Velika Britanija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.1
2012,Velika Britanija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,39
2012,Velika Britanija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1
2012,Velika Britanija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,18.6
2012,Velika Britanija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2012,Velika Britanija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,7.2
2012,Velika Britanija,ženske,Poskusna doba,Delež vseh zaposlenih,0.1
2012,Velika Britanija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,2.5
2012,Velika Britanija,ženske,Ni odgovora,Delež vseh zaposlenih,1.8
2012,Velika Britanija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,32.7
2013,Belgija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.5
2013,Belgija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,82.1
2013,Belgija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.9
2013,Belgija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,13.2
2013,Belgija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2013,Belgija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,4.8
2013,Belgija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7
2013,Belgija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,81.2
2013,Belgija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.3
2013,Belgija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.5
2013,Belgija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.3
2013,Belgija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.3
2013,Bolgarija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.4
2013,Bolgarija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,75.1
2013,Bolgarija,moški,Poskusna doba,Delež vseh zaposlenih,1
2013,Bolgarija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,17.4
2013,Bolgarija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.9
2013,Bolgarija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,65
2013,Bolgarija,ženske,Poskusna doba,Delež vseh zaposlenih,1.1
2013,Bolgarija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,23.4
2013,Češka,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6
2013,Češka,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,83.8
2013,Češka,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.2
2013,Češka,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,16.2
2013,Češka,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,8
2013,Češka,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,81.8
2013,Češka,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.7
2013,Češka,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,17.6
2013,Danska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3
2013,Danska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,44.4
2013,Danska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.7
2013,Danska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.2
2013,Danska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.7
2013,Danska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,40.1
2013,Danska,moški,Poskusna doba,Delež vseh zaposlenih,0.4
2013,Danska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,5.3
2013,Danska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.9
2013,Danska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,55.5
2013,Danska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.9
2013,Danska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.4
2013,Danska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,2.6
2013,Danska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,29.8
2013,Danska,ženske,Poskusna doba,Delež vseh zaposlenih,0.4
2013,Danska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,4.4
2013,Nemčija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,1.7
2013,Nemčija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.5
2013,Nemčija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.3
2013,Nemčija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.7
2013,Nemčija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,3.3
2013,Nemčija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,29.5
2013,Nemčija,moški,Poskusna doba,Delež vseh zaposlenih,1.6
2013,Nemčija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,14.1
2013,Nemčija,moški,Ni odgovora,Delež vseh zaposlenih,4.3
2013,Nemčija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,38.2
2013,Nemčija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.1
2013,Nemčija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,17.9
2013,Nemčija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.3
2013,Nemčija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.7
2013,Nemčija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,3.2
2013,Nemčija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,27.5
2013,Nemčija,ženske,Poskusna doba,Delež vseh zaposlenih,1.6
2013,Nemčija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,13.7
2013,Nemčija,ženske,Ni odgovora,Delež vseh zaposlenih,4.5
2013,Nemčija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,38.3
2013,Estonija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,1.5
2013,Estonija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,37
2013,Estonija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.4
2013,Estonija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,10.7
2013,Estonija,moški,Poskusna doba,Delež vseh zaposlenih,1.3
2013,Estonija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,32.6
2013,Estonija,moški,Ni odgovora,Delež vseh zaposlenih,0.7
2013,Estonija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,17
2013,Estonija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,0.7
2013,Estonija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,24.9
2013,Estonija,ženske,Poskusna doba,Delež vseh zaposlenih,1.4
2013,Estonija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,54.5
2013,Irska,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,5.4
2013,Irska,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,57
2013,Irska,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.9
2013,Irska,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,9.9
2013,Irska,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.2
2013,Irska,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,13
2013,Irska,moški,Poskusna doba,Delež vseh zaposlenih,0.3
2013,Irska,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,3.4
2013,Irska,moški,Ni odgovora,Delež vseh zaposlenih,1.6
2013,Irska,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,16.8
2013,Irska,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,4.9
2013,Irska,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,52.6
2013,Irska,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,1.1
2013,Irska,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,12.2
2013,Irska,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.2
2013,Irska,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,12.8
2013,Irska,ženske,Poskusna doba,Delež vseh zaposlenih,0.2
2013,Irska,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,2.7
2013,Irska,ženske,Ni odgovora,Delež vseh zaposlenih,1.8
2013,Irska,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,19.8
2013,Grčija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,6.7
2013,Grčija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,73.1
2013,Grčija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.1
2013,Grčija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,1.4
2013,Grčija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.5
2013,Grčija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,5.3
2013,Grčija,moški,Poskusna doba,Delež vseh zaposlenih,0.3
2013,Grčija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,3.7
2013,Grčija,moški,Ni odgovora,Delež vseh zaposlenih,1.5
2013,Grčija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,16.5
2013,Grčija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,8.4
2013,Grčija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,74.7
2013,Grčija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.3
2013,Grčija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.3
2013,Grčija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.4
2013,Grčija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.4
2013,Grčija,ženske,Poskusna doba,Delež vseh zaposlenih,0.4
2013,Grčija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,3.5
2013,Grčija,ženske,Ni odgovora,Delež vseh zaposlenih,1.8
2013,Grčija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,16.1
2013,Španija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,18.9
2013,Španija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,84
2013,Španija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.7
2013,Španija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,3.3
2013,Španija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.9
2013,Španija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,3.8
2013,Španija,moški,Poskusna doba,Delež vseh zaposlenih,0.2
2013,Španija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,0.9
2013,Španija,moški,Ni odgovora,Delež vseh zaposlenih,1.8
2013,Španija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,8
2013,Španija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,20.3
2013,Španija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,85.5
2013,Španija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.6
2013,Španija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.7
2013,Španija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1
2013,Španija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,4.2
2013,Španija,ženske,Poskusna doba,Delež vseh zaposlenih,0.1
2013,Španija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,0.3
2013,Španija,ženske,Ni odgovora,Delež vseh zaposlenih,1.8
2013,Španija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,7.4
2013,Francija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.1
2013,Francija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,54.9
2013,Francija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.6
2013,Francija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,20.4
2013,Francija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.6
2013,Francija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,12.5
2013,Francija,moški,Poskusna doba,Delež vseh zaposlenih,0.4
2013,Francija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,2.8
2013,Francija,moški,Ni odgovora,Delež vseh zaposlenih,1.2
2013,Francija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,9.4
2013,Francija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,9.9
2013,Francija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,63.5
2013,Francija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,2.4
2013,Francija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,15.2
2013,Francija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.3
2013,Francija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,8.2
2013,Francija,ženske,Poskusna doba,Delež vseh zaposlenih,0.3
2013,Francija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,1.8
2013,Francija,ženske,Ni odgovora,Delež vseh zaposlenih,1.8
2013,Francija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,11.3
2013,Hrvaška,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7.2
2013,Hrvaška,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,49.2
2013,Hrvaška,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,7.2
2013,Hrvaška,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,49.3
2013,Hrvaška,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,7
2013,Hrvaška,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,50
2013,Hrvaška,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,6.7
2013,Hrvaška,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,48.2
2013,Hrvaška,ženske,Poskusna doba,Delež vseh zaposlenih,0.2
2013,Hrvaška,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,1.6
2013,Italija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,8.7
2013,Italija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,71.7
2013,Italija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.3
2013,Italija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.7
2013,Italija,moški,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.9
2013,Italija,moški,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,15.4
2013,Italija,moški,Poskusna doba,Delež vseh zaposlenih,1.2
2013,Italija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,9.7
2013,Italija,moški,Ni odgovora,Delež vseh zaposlenih,0.1
2013,Italija,moški,Ni odgovora,Delež zaposlenih za nedoločen čas,0.5
2013,Italija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,10.7
2013,Italija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,76.2
2013,Italija,ženske,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.4
2013,Italija,ženske,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,2.8
2013,Italija,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,1.9
2013,Italija,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,13.5
2013,Italija,ženske,Poskusna doba,Delež vseh zaposlenih,1
2013,Italija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,7.1
2013,Italija,ženske,Ni odgovora,Delež vseh zaposlenih,0.1
2013,Italija,ženske,Ni odgovora,Delež zaposlenih za nedoločen čas,0.4
2013,Ciper,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,9.6
2013,Ciper,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,94
2013,Ciper,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,23.1
2013,Ciper,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,96.1
2013,Ciper,ženske,Izobraževanje ali usposabljanje,Delež vseh zaposlenih,0.6
2013,Ciper,ženske,Izobraževanje ali usposabljanje,Delež zaposlenih za nedoločen čas,2.4
2013,Latvija,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,3.7
2013,Latvija,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,72.7
2013,Latvija,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.7
2013,Latvija,moški,Ni hotel službe za nedoločen čas,Delež zaposlenih za nedoločen čas,13.4
2013,Latvija,moški,Poskusna doba,Delež vseh zaposlenih,0.6
2013,Latvija,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,12.4
2013,Latvija,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.3
2013,Latvija,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,69.8
2013,Latvija,ženske,Poskusna doba,Delež vseh zaposlenih,0.6
2013,Latvija,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,17.6
2013,Litva,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.3
2013,Litva,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,67.9
2013,Litva,moški,Poskusna doba,Delež vseh zaposlenih,0.9
2013,Litva,moški,Poskusna doba,Delež zaposlenih za nedoločen čas,26.4
2013,Litva,ženske,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,1.2
2013,Litva,ženske,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,64.1
2013,Litva,ženske,Poskusna doba,Delež vseh zaposlenih,0.5
2013,Litva,ženske,Poskusna doba,Delež zaposlenih za nedoločen čas,27.7
2013,Luksemburg,moški,Ni mogel najti službe za nedoločen čas,Delež vseh zaposlenih,2.6
2013,Luksemburg,moški,Ni mogel najti službe za nedoločen čas,Delež zaposlenih za nedoločen čas,50
2013,Luksemburg,moški,Ni hotel službe za nedoločen čas,Delež vseh zaposlenih,0.6
