"AGE,""SEX"",""TIME"",""GEO"",""UNIT"",""INDIC_EM"",""Value"""
"From 15 to 24 years,""Males"",""2012"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.8"""
"From 15 to 24 years,""Males"",""2012"",""Romania"",""Percentage of total population"",""Active population"",""35.3"""
"From 15 to 24 years,""Males"",""2012"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.5"""
"From 15 to 24 years,""Males"",""2012"",""Slovenia"",""Percentage of total population"",""Active population"",""38.1"""
"From 15 to 24 years,""Males"",""2012"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.4"""
"From 15 to 24 years,""Males"",""2012"",""Slovakia"",""Percentage of total population"",""Active population"",""37.1"""
"From 15 to 24 years,""Males"",""2012"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.1"""
"From 15 to 24 years,""Males"",""2012"",""Finland"",""Percentage of total population"",""Active population"",""51.2"""
"From 15 to 24 years,""Males"",""2012"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""41.0"""
"From 15 to 24 years,""Males"",""2012"",""Sweden"",""Percentage of total population"",""Active population"",""51.8"""
"From 15 to 24 years,""Males"",""2012"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.8"""
"From 15 to 24 years,""Males"",""2012"",""United Kingdom"",""Percentage of total population"",""Active population"",""60.9"""
"From 15 to 24 years,""Males"",""2012"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.4"""
"From 15 to 24 years,""Males"",""2013"",""Belgium"",""Percentage of total population"",""Active population"",""33.7"""
"From 15 to 24 years,""Males"",""2013"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.3"""
"From 15 to 24 years,""Males"",""2013"",""Bulgaria"",""Percentage of total population"",""Active population"",""34.3"""
"From 15 to 24 years,""Males"",""2013"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2013"",""Czechia"",""Percentage of total population"",""Active population"",""36.8"""
"From 15 to 24 years,""Males"",""2013"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.9"""
"From 15 to 24 years,""Males"",""2013"",""Denmark"",""Percentage of total population"",""Active population"",""57.3"""
"From 15 to 24 years,""Males"",""2013"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.0"""
"From 15 to 24 years,""Males"",""2013"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""52.9"""
"From 15 to 24 years,""Males"",""2013"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.4"""
"From 15 to 24 years,""Males"",""2013"",""Estonia"",""Percentage of total population"",""Active population"",""41.4"""
"From 15 to 24 years,""Males"",""2013"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""34.0"""
"From 15 to 24 years,""Males"",""2013"",""Ireland"",""Percentage of total population"",""Active population"",""51.6"""
"From 15 to 24 years,""Males"",""2013"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""36.0"""
"From 15 to 24 years,""Males"",""2013"",""Greece"",""Percentage of total population"",""Active population"",""31.6"""
"From 15 to 24 years,""Males"",""2013"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""14.6"""
"From 15 to 24 years,""Males"",""2013"",""Spain"",""Percentage of total population"",""Active population"",""39.6"""
"From 15 to 24 years,""Males"",""2013"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""17.3"""
"From 15 to 24 years,""Males"",""2013"",""France"",""Percentage of total population"",""Active population"",""40.6"""
"From 15 to 24 years,""Males"",""2013"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.7"""
"From 15 to 24 years,""Males"",""2013"",""Croatia"",""Percentage of total population"",""Active population"",""34.7"""
"From 15 to 24 years,""Males"",""2013"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""17.4"""
"From 15 to 24 years,""Males"",""2013"",""Italy"",""Percentage of total population"",""Active population"",""30.7"""
"From 15 to 24 years,""Males"",""2013"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""18.7"""
"From 15 to 24 years,""Males"",""2013"",""Cyprus"",""Percentage of total population"",""Active population"",""40.8"""
"From 15 to 24 years,""Males"",""2013"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2013"",""Latvia"",""Percentage of total population"",""Active population"",""42.6"""
"From 15 to 24 years,""Males"",""2013"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.3"""
"From 15 to 24 years,""Males"",""2013"",""Lithuania"",""Percentage of total population"",""Active population"",""35.8"""
"From 15 to 24 years,""Males"",""2013"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.6"""
"From 15 to 24 years,""Males"",""2013"",""Luxembourg"",""Percentage of total population"",""Active population"",""29.8"""
"From 15 to 24 years,""Males"",""2013"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.2"""
"From 15 to 24 years,""Males"",""2013"",""Hungary"",""Percentage of total population"",""Active population"",""31.0"""
"From 15 to 24 years,""Males"",""2013"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""23.0"""
"From 15 to 24 years,""Males"",""2013"",""Malta"",""Percentage of total population"",""Active population"",""56.6"""
"From 15 to 24 years,""Males"",""2013"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.2"""
"From 15 to 24 years,""Males"",""2013"",""Netherlands"",""Percentage of total population"",""Active population"",""68.4"""
"From 15 to 24 years,""Males"",""2013"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""59.2"""
"From 15 to 24 years,""Males"",""2013"",""Austria"",""Percentage of total population"",""Active population"",""62.3"""
"From 15 to 24 years,""Males"",""2013"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""56.4"""
"From 15 to 24 years,""Males"",""2013"",""Poland"",""Percentage of total population"",""Active population"",""38.4"""
"From 15 to 24 years,""Males"",""2013"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.6"""
"From 15 to 24 years,""Males"",""2013"",""Portugal"",""Percentage of total population"",""Active population"",""36.2"""
"From 15 to 24 years,""Males"",""2013"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""22.9"""
"From 15 to 24 years,""Males"",""2013"",""Romania"",""Percentage of total population"",""Active population"",""35.1"""
"From 15 to 24 years,""Males"",""2013"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.0"""
"From 15 to 24 years,""Males"",""2013"",""Slovenia"",""Percentage of total population"",""Active population"",""37.1"""
"From 15 to 24 years,""Males"",""2013"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.7"""
"From 15 to 24 years,""Males"",""2013"",""Slovakia"",""Percentage of total population"",""Active population"",""37.6"""
"From 15 to 24 years,""Males"",""2013"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.4"""
"From 15 to 24 years,""Males"",""2013"",""Finland"",""Percentage of total population"",""Active population"",""50.8"""
"From 15 to 24 years,""Males"",""2013"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.1"""
"From 15 to 24 years,""Males"",""2013"",""Sweden"",""Percentage of total population"",""Active population"",""53.9"""
"From 15 to 24 years,""Males"",""2013"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""40.5"""
"From 15 to 24 years,""Males"",""2013"",""United Kingdom"",""Percentage of total population"",""Active population"",""60.2"""
"From 15 to 24 years,""Males"",""2013"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.4"""
"From 15 to 24 years,""Males"",""2014"",""Belgium"",""Percentage of total population"",""Active population"",""32.3"""
"From 15 to 24 years,""Males"",""2014"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.5"""
"From 15 to 24 years,""Males"",""2014"",""Bulgaria"",""Percentage of total population"",""Active population"",""31.5"""
"From 15 to 24 years,""Males"",""2014"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2014"",""Czechia"",""Percentage of total population"",""Active population"",""38.1"""
"From 15 to 24 years,""Males"",""2014"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.3"""
"From 15 to 24 years,""Males"",""2014"",""Denmark"",""Percentage of total population"",""Active population"",""57.8"""
"From 15 to 24 years,""Males"",""2014"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.8"""
"From 15 to 24 years,""Males"",""2014"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""52.0"""
"From 15 to 24 years,""Males"",""2014"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""47.7"""
"From 15 to 24 years,""Males"",""2014"",""Estonia"",""Percentage of total population"",""Active population"",""41.4"""
"From 15 to 24 years,""Males"",""2014"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.4"""
"From 15 to 24 years,""Males"",""2014"",""Ireland"",""Percentage of total population"",""Active population"",""50.2"""
"From 15 to 24 years,""Males"",""2014"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""36.9"""
"From 15 to 24 years,""Males"",""2014"",""Greece"",""Percentage of total population"",""Active population"",""30.0"""
"From 15 to 24 years,""Males"",""2014"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""15.8"""
"From 15 to 24 years,""Males"",""2014"",""Spain"",""Percentage of total population"",""Active population"",""37.3"""
"From 15 to 24 years,""Males"",""2014"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""17.4"""
"From 15 to 24 years,""Males"",""2014"",""France"",""Percentage of total population"",""Active population"",""39.7"""
"From 15 to 24 years,""Males"",""2014"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.7"""
"From 15 to 24 years,""Males"",""2014"",""Croatia"",""Percentage of total population"",""Active population"",""38.5"""
"From 15 to 24 years,""Males"",""2014"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""21.2"""
"From 15 to 24 years,""Males"",""2014"",""Italy"",""Percentage of total population"",""Active population"",""31.0"""
"From 15 to 24 years,""Males"",""2014"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""18.2"""
"From 15 to 24 years,""Males"",""2014"",""Cyprus"",""Percentage of total population"",""Active population"",""41.2"""
"From 15 to 24 years,""Males"",""2014"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.8"""
"From 15 to 24 years,""Males"",""2014"",""Latvia"",""Percentage of total population"",""Active population"",""45.3"""
"From 15 to 24 years,""Males"",""2014"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""36.5"""
"From 15 to 24 years,""Males"",""2014"",""Lithuania"",""Percentage of total population"",""Active population"",""38.6"""
"From 15 to 24 years,""Males"",""2014"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.0"""
"From 15 to 24 years,""Males"",""2014"",""Luxembourg"",""Percentage of total population"",""Active population"",""29.6"""
"From 15 to 24 years,""Males"",""2014"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""21.9"""
"From 15 to 24 years,""Males"",""2014"",""Hungary"",""Percentage of total population"",""Active population"",""33.0"""
"From 15 to 24 years,""Males"",""2014"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.4"""
"From 15 to 24 years,""Males"",""2014"",""Malta"",""Percentage of total population"",""Active population"",""53.4"""
"From 15 to 24 years,""Males"",""2014"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.1"""
"From 15 to 24 years,""Males"",""2014"",""Netherlands"",""Percentage of total population"",""Active population"",""67.0"""
"From 15 to 24 years,""Males"",""2014"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""58.7"""
"From 15 to 24 years,""Males"",""2014"",""Austria"",""Percentage of total population"",""Active population"",""60.7"""
"From 15 to 24 years,""Males"",""2014"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""54.3"""
"From 15 to 24 years,""Males"",""2014"",""Poland"",""Percentage of total population"",""Active population"",""38.8"""
"From 15 to 24 years,""Males"",""2014"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.0"""
"From 15 to 24 years,""Males"",""2014"",""Portugal"",""Percentage of total population"",""Active population"",""34.8"""
"From 15 to 24 years,""Males"",""2014"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""22.9"""
"From 15 to 24 years,""Males"",""2014"",""Romania"",""Percentage of total population"",""Active population"",""34.8"""
"From 15 to 24 years,""Males"",""2014"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.6"""
"From 15 to 24 years,""Males"",""2014"",""Slovenia"",""Percentage of total population"",""Active population"",""36.6"""
"From 15 to 24 years,""Males"",""2014"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.5"""
"From 15 to 24 years,""Males"",""2014"",""Slovakia"",""Percentage of total population"",""Active population"",""38.0"""
"From 15 to 24 years,""Males"",""2014"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.8"""
"From 15 to 24 years,""Males"",""2014"",""Finland"",""Percentage of total population"",""Active population"",""51.5"""
"From 15 to 24 years,""Males"",""2014"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.8"""
"From 15 to 24 years,""Males"",""2014"",""Sweden"",""Percentage of total population"",""Active population"",""54.9"""
"From 15 to 24 years,""Males"",""2014"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""41.6"""
"From 15 to 24 years,""Males"",""2014"",""United Kingdom"",""Percentage of total population"",""Active population"",""59.5"""
"From 15 to 24 years,""Males"",""2014"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.2"""
"From 15 to 24 years,""Males"",""2015"",""Belgium"",""Percentage of total population"",""Active population"",""32.8"""
"From 15 to 24 years,""Males"",""2015"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.0"""
"From 15 to 24 years,""Males"",""2015"",""Bulgaria"",""Percentage of total population"",""Active population"",""30.5"""
"From 15 to 24 years,""Males"",""2015"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2015"",""Czechia"",""Percentage of total population"",""Active population"",""37.4"""
"From 15 to 24 years,""Males"",""2015"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.1"""
"From 15 to 24 years,""Males"",""2015"",""Denmark"",""Percentage of total population"",""Active population"",""58.1"""
"From 15 to 24 years,""Males"",""2015"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""50.4"""
"From 15 to 24 years,""Males"",""2015"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""50.5"""
"From 15 to 24 years,""Males"",""2015"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.5"""
"From 15 to 24 years,""Males"",""2015"",""Estonia"",""Percentage of total population"",""Active population"",""45.7"""
"From 15 to 24 years,""Males"",""2015"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""39.4"""
"From 15 to 24 years,""Males"",""2015"",""Ireland"",""Percentage of total population"",""Active population"",""50.1"""
"From 15 to 24 years,""Males"",""2015"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.3"""
"From 15 to 24 years,""Males"",""2015"",""Greece"",""Percentage of total population"",""Active population"",""27.7"""
"From 15 to 24 years,""Males"",""2015"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""15.2"""
"From 15 to 24 years,""Males"",""2015"",""Spain"",""Percentage of total population"",""Active population"",""36.2"""
"From 15 to 24 years,""Males"",""2015"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""18.6"""
"From 15 to 24 years,""Males"",""2015"",""France"",""Percentage of total population"",""Active population"",""40.4"""
"From 15 to 24 years,""Males"",""2015"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.0"""
"From 15 to 24 years,""Males"",""2015"",""Croatia"",""Percentage of total population"",""Active population"",""38.2"""
"From 15 to 24 years,""Males"",""2015"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""22.4"""
"From 15 to 24 years,""Males"",""2015"",""Italy"",""Percentage of total population"",""Active population"",""30.4"""
"From 15 to 24 years,""Males"",""2015"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""18.6"""
"From 15 to 24 years,""Males"",""2015"",""Cyprus"",""Percentage of total population"",""Active population"",""36.8"""
"From 15 to 24 years,""Males"",""2015"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2015"",""Latvia"",""Percentage of total population"",""Active population"",""45.2"""
"From 15 to 24 years,""Males"",""2015"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""37.1"""
"From 15 to 24 years,""Males"",""2015"",""Lithuania"",""Percentage of total population"",""Active population"",""36.7"""
"From 15 to 24 years,""Males"",""2015"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.8"""
"From 15 to 24 years,""Males"",""2015"",""Luxembourg"",""Percentage of total population"",""Active population"",""36.2"""
"From 15 to 24 years,""Males"",""2015"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.4"""
"From 15 to 24 years,""Males"",""2015"",""Hungary"",""Percentage of total population"",""Active population"",""34.4"""
"From 15 to 24 years,""Males"",""2015"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.1"""
"From 15 to 24 years,""Males"",""2015"",""Malta"",""Percentage of total population"",""Active population"",""53.7"""
"From 15 to 24 years,""Males"",""2015"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.6"""
"From 15 to 24 years,""Males"",""2015"",""Netherlands"",""Percentage of total population"",""Active population"",""67.5"""
"From 15 to 24 years,""Males"",""2015"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""59.9"""
"From 15 to 24 years,""Males"",""2015"",""Austria"",""Percentage of total population"",""Active population"",""60.7"""
"From 15 to 24 years,""Males"",""2015"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""54.0"""
"From 15 to 24 years,""Males"",""2015"",""Poland"",""Percentage of total population"",""Active population"",""38.4"""
"From 15 to 24 years,""Males"",""2015"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""30.5"""
"From 15 to 24 years,""Males"",""2015"",""Portugal"",""Percentage of total population"",""Active population"",""34.2"""
"From 15 to 24 years,""Males"",""2015"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.1"""
"From 15 to 24 years,""Males"",""2015"",""Romania"",""Percentage of total population"",""Active population"",""37.0"""
"From 15 to 24 years,""Males"",""2015"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.4"""
"From 15 to 24 years,""Males"",""2015"",""Slovenia"",""Percentage of total population"",""Active population"",""38.9"""
"From 15 to 24 years,""Males"",""2015"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.0"""
"From 15 to 24 years,""Males"",""2015"",""Slovakia"",""Percentage of total population"",""Active population"",""38.3"""
"From 15 to 24 years,""Males"",""2015"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.4"""
"From 15 to 24 years,""Males"",""2015"",""Finland"",""Percentage of total population"",""Active population"",""51.1"""
"From 15 to 24 years,""Males"",""2015"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.1"""
"From 15 to 24 years,""Males"",""2015"",""Sweden"",""Percentage of total population"",""Active population"",""53.8"""
"From 15 to 24 years,""Males"",""2015"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.4"""
"From 15 to 24 years,""Males"",""2015"",""United Kingdom"",""Percentage of total population"",""Active population"",""60.0"""
"From 15 to 24 years,""Males"",""2015"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""50.3"""
"From 15 to 24 years,""Males"",""2016"",""Belgium"",""Percentage of total population"",""Active population"",""30.7"""
"From 15 to 24 years,""Males"",""2016"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.0"""
"From 15 to 24 years,""Males"",""2016"",""Bulgaria"",""Percentage of total population"",""Active population"",""28.0"""
"From 15 to 24 years,""Males"",""2016"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""23.1"""
"From 15 to 24 years,""Males"",""2016"",""Czechia"",""Percentage of total population"",""Active population"",""37.5"""
"From 15 to 24 years,""Males"",""2016"",""Czechia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""33.8"""
"From 15 to 24 years,""Males"",""2016"",""Denmark"",""Percentage of total population"",""Active population"",""57.9"""
"From 15 to 24 years,""Males"",""2016"",""Denmark"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""50.1"""
"From 15 to 24 years,""Males"",""2016"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Active population"",""50.9"""
"From 15 to 24 years,""Males"",""2016"",""Germany (until 1990 former territory of the FRG)"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""46.9"""
"From 15 to 24 years,""Males"",""2016"",""Estonia"",""Percentage of total population"",""Active population"",""46.1"""
"From 15 to 24 years,""Males"",""2016"",""Estonia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""38.8"""
"From 15 to 24 years,""Males"",""2016"",""Ireland"",""Percentage of total population"",""Active population"",""52.6"""
"From 15 to 24 years,""Males"",""2016"",""Ireland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""42.2"""
"From 15 to 24 years,""Males"",""2016"",""Greece"",""Percentage of total population"",""Active population"",""26.4"""
"From 15 to 24 years,""Males"",""2016"",""Greece"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""14.7"""
"From 15 to 24 years,""Males"",""2016"",""Spain"",""Percentage of total population"",""Active population"",""34.7"""
"From 15 to 24 years,""Males"",""2016"",""Spain"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""19.4"""
"From 15 to 24 years,""Males"",""2016"",""France"",""Percentage of total population"",""Active population"",""39.9"""
"From 15 to 24 years,""Males"",""2016"",""France"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""29.9"""
"From 15 to 24 years,""Males"",""2016"",""Croatia"",""Percentage of total population"",""Active population"",""41.9"""
"From 15 to 24 years,""Males"",""2016"",""Croatia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""28.8"""
"From 15 to 24 years,""Males"",""2016"",""Italy"",""Percentage of total population"",""Active population"",""30.2"""
"From 15 to 24 years,""Males"",""2016"",""Italy"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""19.2"""
"From 15 to 24 years,""Males"",""2016"",""Cyprus"",""Percentage of total population"",""Active population"",""35.8"""
"From 15 to 24 years,""Males"",""2016"",""Cyprus"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.5"""
"From 15 to 24 years,""Males"",""2016"",""Latvia"",""Percentage of total population"",""Active population"",""43.3"""
"From 15 to 24 years,""Males"",""2016"",""Latvia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""34.0"""
"From 15 to 24 years,""Males"",""2016"",""Lithuania"",""Percentage of total population"",""Active population"",""38.7"""
"From 15 to 24 years,""Males"",""2016"",""Lithuania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.5"""
"From 15 to 24 years,""Males"",""2016"",""Luxembourg"",""Percentage of total population"",""Active population"",""30.4"""
"From 15 to 24 years,""Males"",""2016"",""Luxembourg"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.4"""
"From 15 to 24 years,""Males"",""2016"",""Hungary"",""Percentage of total population"",""Active population"",""36.1"""
"From 15 to 24 years,""Males"",""2016"",""Hungary"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.5"""
"From 15 to 24 years,""Males"",""2016"",""Malta"",""Percentage of total population"",""Active population"",""54.4"""
"From 15 to 24 years,""Males"",""2016"",""Malta"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""48.9"""
"From 15 to 24 years,""Males"",""2016"",""Netherlands"",""Percentage of total population"",""Active population"",""67.2"""
"From 15 to 24 years,""Males"",""2016"",""Netherlands"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""59.6"""
"From 15 to 24 years,""Males"",""2016"",""Austria"",""Percentage of total population"",""Active population"",""60.2"""
"From 15 to 24 years,""Males"",""2016"",""Austria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""52.9"""
"From 15 to 24 years,""Males"",""2016"",""Poland"",""Percentage of total population"",""Active population"",""39.8"""
"From 15 to 24 years,""Males"",""2016"",""Poland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""32.8"""
"From 15 to 24 years,""Males"",""2016"",""Portugal"",""Percentage of total population"",""Active population"",""35.0"""
"From 15 to 24 years,""Males"",""2016"",""Portugal"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""25.5"""
"From 15 to 24 years,""Males"",""2016"",""Romania"",""Percentage of total population"",""Active population"",""33.9"""
"From 15 to 24 years,""Males"",""2016"",""Romania"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""27.2"""
"From 15 to 24 years,""Males"",""2016"",""Slovenia"",""Percentage of total population"",""Active population"",""36.8"""
"From 15 to 24 years,""Males"",""2016"",""Slovenia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.1"""
"From 15 to 24 years,""Males"",""2016"",""Slovakia"",""Percentage of total population"",""Active population"",""39.8"""
"From 15 to 24 years,""Males"",""2016"",""Slovakia"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""31.9"""
"From 15 to 24 years,""Males"",""2016"",""Finland"",""Percentage of total population"",""Active population"",""51.2"""
"From 15 to 24 years,""Males"",""2016"",""Finland"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""40.1"""
"From 15 to 24 years,""Males"",""2016"",""Sweden"",""Percentage of total population"",""Active population"",""54.2"""
"From 15 to 24 years,""Males"",""2016"",""Sweden"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""43.1"""
"From 15 to 24 years,""Males"",""2016"",""United Kingdom"",""Percentage of total population"",""Active population"",""59.2"""
"From 15 to 24 years,""Males"",""2016"",""United Kingdom"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""50.4"""
"From 15 to 24 years,""Males"",""2017"",""Belgium"",""Percentage of total population"",""Active population"",""30.6"""
"From 15 to 24 years,""Males"",""2017"",""Belgium"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""24.4"""
"From 15 to 24 years,""Males"",""2017"",""Bulgaria"",""Percentage of total population"",""Active population"",""30.5"""
"From 15 to 24 years,""Males"",""2017"",""Bulgaria"",""Percentage of total population"",""Total employment (resident population concept - LFS)"",""26.5"""
"From 15 to 24 years,""Males"",""2017"",""Czechia"",""Percentage of total population"",""Active population"",""36.5"""
